name	ra	dec	micron_flux_12	micron_flux_25	micron_flux_60	micron_flux_100	psc_id	extend_flag	var_flag	obj_id_flag	micron_flux_12_flag	micron_flux_25_flag	micron_flux_60_flag	micron_flux_100_flag	opt_mag	helio_velocity	helio_velocity_error	source	t_type	class
1925-7245	291.36583	-72.76083	0.258821278810501	1.33659565448761	5.22396230697632	8.37529277801514	0	0	V	O	2	3	3	3		18500	80	-5		GALAXY
	117.73083	-72.745	0.100000001490116	0.12331049144268	1.01157939434052	2.10377812385559	3	4	N	B	1	1	3	3		5336	300	53		GALAXY
A1528-7242	232.04917	-72.70444	0.250034540891647	0.250034540891647	1.28824961185455	2.42660999298096	0	0	N	O	1	1	3	3		20693	40	-502		GALAXY
I4747	279.97042	-72.68222	0.250034540891647	0.184077188372612	1.279381275177	2.60615348815918	3	0	N	Z	1	2	3	3	15.1999998092651	5390	50	3116	5	GALAXY
N5833	226.67125	-72.66972	0.841395139694214	0.968277871608734	7.43019247055054	21.2813930511475	3	1	9	Z	3	3	3	3		3071	8	1018	5	GALAXY
	17.45958	-72.64611	0.250034540891647	0.490907847881317	3.04789471626282	8.35603141784668	3	6	N	M	1	3	3	3						GALAXY HII REGION
A1416-7236	214.18625	-72.61056	0.250034540891647	0.427562862634659	1.76603770256043	1.47231245040894	0	0	N	O	1	3	3	1		7858	49	-502		GALAXY
A1507-7235	226.82583	-72.58444	0.409260660409927	0.250034540891647	1.35831344127655	2.51767706871033	2	0	N	O	1	1	3	1		2963	58	-502		GALAXY
A0436-7234	69.16458	-72.57722	0.250034540891647	0.21134889125824	1.42232882976532	2.69153451919556	0	0	N	O	1	3	3	3		13209	67	-502		GALAXY
0644-7232	101.11	-72.54167	0.250034540891647	0.250610917806625	1.46217703819275	3.75837445259094	3	0	N	Z	1	3	3	3		5547	7	1018	6	GALAXY
	251.76875	-72.45167	0.100000001490116	0.100000001490116	0.814704298973083	1.51705038547516	0	4	N	O	1	1	3	2		5874	38			GALAXY
2306-7217	346.58917	-72.28028	0.129717916250229	0.17988708615303	1.38995265960693	3.53997349739075	3	4	N	Z	1	1	3	3		8915	29	3604	6	GALAXY
0354-7216	58.59958	-72.27889	0.100000001490116	0.202301919460297	1.12460494041443	2.54683041572571	3	4	N	Z	1	2	3	3	15.8000001907349	14430	100			GALAXY
0802-7215	120.56708	-72.26417	0.250034540891647	0.602559566497803	3.43557953834534	3.56451177597046	3	0	N	O	1	3	3	2		13725	40	-5		GALAXY
A1141-7212	175.34	-72.20694	0.402717053890228	0.323593646287918	1.29419577121735	2.0137243270874	0	0	N	O	1	3	3	3		7539	40	-502		GALAXY
2004-7210	301.2325	-72.1675	0.250034540891647	0.250034540891647	1.35518932342529	1.69824373722076	0	0	N	Z	1	1	3	3		37893	120	1743		GALAXY
1151-7209	177.84583	-72.15889	0.239883288741112	0.616595029830933	1.73380386829376	2.41546082496643	3	4	N	O	1	2	3	1		12296	36	-5		GALAXY
0131-7209	22.76833	-72.15667	0.250034540891647	0.192309185862541	2.449063539505	3.77572202682495	0	0	N	Z	1	3	3	3		18881	0	17 1		GALAXY
A0256-7203	44.02042	-72.05528	0.100000001490116	0.114287823438644	0.580764412879944	1.49968481063843	3	4	N	Z	1	1	3	3	15.1800003051758	8317	32	3910	1	GALAXY
	135.955	-71.85389	0.100000001490116	0.21134889125824	1.15080034732819	2.32809114456177	3	4	N	O	1	1	3	3		11381	42			GALAXY
	79.14417	-71.84639	0.250034540891647	0.153815478086472	2.44343066215515	5.87489414215088	0	4	N	M	1	2	3	3						GALAXY HII REGION
0350-7147	57.51583	-71.78639	0.184926837682724	0.140928879380226	1.57398295402527	4.19758987426758	3	4	N	Z	1	1	3	3		1440	46	-5	8	GALAXY
	80.41958	-71.76611	0.282487988471985	0.200447201728821	2.79898142814636	12.3879642486572	0	0	N	M	1	2	3	3						GALAXY HII REGION
A1656-7144	254.0125	-71.74639	0.250034540891647	0.228034228086472	1.41579389572144	2.04644465446472	0	0	N	O	1	3	3	3		24114	53	-502		GALAXY
0247-7139BM	41.94458	-71.6525	0.250034540891647	0.250034540891647	1.22743916511536	2.64849996566772	3	0	N	Z	1	1	3	3	15.8000001907349	17784	97	1202		GALAXY
	81.66875	-71.64	0.25763213634491	0.256448417901993	6.30957269668579	27.352689743042	3	2	N	M	3	3	3	3						GALAXY HII REGION
	80.75958	-71.63111	0.250034540891647	0.699842035770416	3.49945187568665	15.4881677627563	3	2	N	M	1	3	3	1						GALAXY HII REGION
I4682	272.63125	-71.59694	0.250034540891647	0.209411233663559	1.88799142837524	6.72976589202881	3	0	N	D	1	2	3	3		3581	26	3604	3	GALAXY
	81.26375	-71.57583	0.245470881462097	0.375837385654449	4.3853063583374	9.28966522216797	3	2	0	M	2	3	3	2						GALAXY HII REGION
	77.59167	-71.52222	0.250034540891647	0.549540877342224	4.59197950363159	7.94328212738037	3	0	N	M	1	3	3	3						GALAXY HII REGION
	82.04167	-71.44417	0.266072511672974	0.355631321668625	5.34564399719238	21.5278148651123	3	3	N	M	1	1	3	2						GALAXY HII REGION
	81.92042	-71.425	0.250034540891647	0.456036895513535	5.35796642303467	20.7969703674316	3	3	N	M	1	3	3	2						GALAXY HII REGION
A0740-7125	115.1425	-71.42	0.250034540891647	0.250034540891647	1.51008021831513	2.7733199596405	0	0	N	O	1	1	3	3		10990	79	-502		GALAXY
0645-7124	101.34458	-71.40222	0.221819624304771	0.246603906154633	1.88364899158478	5.86138153076172	3	4	N	O	1	1	3	3		4043	40	-5	6	GALAXY
	250.31833	-71.38972	0.100000001490116	0.100000001490116	1.19949924945831	1.96788644790649	0	4	N	O	1	1	3	3		31912	36			GALAXY
	81.10792	-71.3775	0.277331978082657	0.250034540891647	2.93764996528625	17.8648796081543	0	2	N	M	1	1	3	2						GALAXY HII REGION
0204-7121	31.24917	-71.36056	0.203235685825348	0.140928879380226	1.6749427318573	4.17830419540405	3	4	N	Z	1	1	3	3	14.8000001907349	8082	33	3604	4	GALAXY
	85.59083	-71.34222	0.84333473443985	3.90840911865234	45.7088279724121	110.917503356934	3	7	5	M	3	3	3	1						GALAXY HII REGION
	85.51542	-71.3125	1.37720966339111	3.63915038108826	44.0554924011231	88.9200897216797	0	7	N	M	2	2	2	1						GALAXY HII REGION
	85.81792	-71.31222	0.284446120262146	0.895364820957184	4.15910577774048	56.493709564209	0	7	N	M	1	3	3	1						GALAXY HII REGION
	79.55917	-71.3	0.816582381725311	2.69773936271667	29.8538188934326	61.659496307373	3	7	7	M	3	3	3	2						GALAXY HII REGION
N2466	116.41708	-71.28639	0.208929613232613	0.229614868760109	2.80543327331543	21.7270069122314	4	0	0	Z	2	2	3	1		5313	6	1018	5A	GALAXY
	85.52875	-71.28111	0.609536945819855	2.62421870231628	26.5460567474365	71.1213531494141	0	7	N	M	1	3	2	1						GALAXY HII REGION
